,Afghanistan,Albania,Algeria,Andorra,Angola,Antigua & Barbuda,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bhutan,Bolivia,Bosnia & Herzegovina,Botswana,Brazil,Brunei Darussalem,Bulgaria,Burkina Faso,Burma,Burundi,Cambodia,Cameroon,Canada,Cape Verde,Central African Republic,Chad,Chile,China,Columbia,Comoros,Congo,Congo- Democratic Republic of,Costa Rica,Cote d'Ivoire,Croatia,Cuba,Cyprus,Czech Republic,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Fiji,Finland,France,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Grenada,Guatamala,Guinea,Guinea-Bissau,Guyana,Haiti,Holy See (Vatican City),Honduras,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Korea- North,Korea- South,Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Macedonia,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,Micronesia,Moldova,Monaco,Mongolia,Montenegro,Morocco,Mozambique,Namibia,Nauru,Nepal,Netherlands,New Zealand,Nicaragua,Niger,Nigeria,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Phillipines,Poland,Portugal,Qatar,Romania,Russia,Rwanda,St. Kitts & Nevis,St. Lucia,St. Vincent & The Grenadines,Samoa,San Marino,Sao Tome & Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad & Tobago,Tunisia,Turkey,Turkmenistan,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Vanuatu,Venezuela,Vietnam,Yemen,Zambia,Zimbabwe
Cambodia,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27,0,27,0,0,0,27,0,0,0,0,27,0,0,0,0,0,0,0,27,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,27,27,0,0,0,0,0,0,27,0,0,0,0,27,27,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,27,27,0,0,0,0,88,0,0,0
Cameroon,0,0,78,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,152,0,0,0,0,0,0,0,0,30,13,15,0,220,0,0,38,59,0,58,0,0,0,0,0,0,0,0,0,181,0,0,0,0,0,0,0,0,0,0,0,0,68,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,208,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,38,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,124,0,0,198,0,0,0,0,0,0,0,127,69,0,0,0,0,0,0,0,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,48,52,78,0,62,0,101,39,0,0,51,0,0,60,0,54,0,0,44,0,37,57,0,152,0,114,29,45,16,0,51,0,0,0,0,82,220,71,0,0,59,0,58,73,0,0,119,0,0,0,61,58,181,45,0,23,45,41,0,0,0,0,0,53,0,68,130,0,59,36,0,17,30,0,55,108,0,184,120,98,73,0,106,208,26,0,65,0,61,0,0,114,0,0,0,0,51,73,16,0,0,0,55,0,49,27,14,116,0,32,0,0,0,0,96,0,0,0,30,0,100,0,0,0,0,0,0,0,17,103,99,0,99,0,0,0,39,75,101,133,124,0,117,198,28,0,0,0,0,0,0,127,69,80,0,0,0,66,58,0,0,147,15,0,63,67,0,0,119,142,59,0,0,50,113,0,30,0,28,62,128,0,0,35,121,0,0,0,56,0,0,0,88,50,27,36
Cape Verde,0,0,0,0,62,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,0,0,0,0,0,0,51,0,0,0,0,0,220,0,0,38,59,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,124,0,0,198,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,15,0,15,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,15,0,0,0,15,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
Chad,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,17,0,0,17,0,0,0,17,0,17,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,17,0,0,0,17,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,17,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0
Chile,0,0,0,0,0,0,70,0,70,70,0,0,0,0,0,0,70,0,0,0,70,0,0,70,0,70,0,0,0,0,0,70,0,0,0,0,70,70,0,0,0,70,0,70,70,0,70,70,0,0,70,70,70,70,0,0,0,0,0,70,70,0,0,0,70,0,70,0,70,0,0,0,70,70,70,70,0,70,70,0,0,0,70,70,0,70,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,70,0,0,0,0,0,70,0,0,0,0,70,70,70,0,0,70,0,0,0,0,0,70,75,101,133,124,0,117,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,0,70,0,0,0,0,119,142,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,70,70,56,0,0,70,88,0,0,0
China,48,52,78,0,62,0,101,39,0,0,51,0,45,60,0,54,0,0,44,0,37,57,14,152,0,114,0,45,16,34,51,0,30,13,0,82,0,71,0,38,59,0,58,73,0,69,119,0,31,0,0,58,181,0,0,23,45,41,21,0,0,0,0,53,0,68,130,0,0,36,11,17,0,0,0,108,0,184,120,98,73,0,106,208,26,0,65,60,61,0,35,114,0,0,22,30,51,73,16,24,0,0,55,0,49,27,0,116,25,32,0,0,27,29,96,5,29,0,30,33,100,40,38,0,30,0,0,0,17,103,99,64,99,0,0,16,0,75,101,133,124,0,117,198,28,0,0,0,0,0,0,127,69,80,14,25,68,66,58,0,21,147,0,0,63,67,14,0,119,142,59,44,15,50,113,10,30,0,0,62,128,14,0,35,121,0,0,0,56,37,0,0,88,50,27,36
Columbia,0,0,90,0,0,0,90,0,0,90,0,0,0,0,0,0,90,90,0,0,90,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,90,0,0,0,0,90,0,0,90,0,90,0,0,0,90,90,90,90,0,0,0,0,0,0,90,0,0,0,90,0,0,0,90,0,0,0,0,90,90,90,0,90,90,90,0,0,90,90,26,90,0,0,0,0,0,114,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,100,0,0,0,0,90,0,42,0,0,99,0,0,0,90,0,39,75,0,133,124,0,117,198,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,119,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,56,0,0,90,0,0,0,0
Comoros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,0,0,0,67,0,22,0,0,0,0,0,50,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,22,0,0,0,22,0,0,0,22,0,22,0,22,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,22,0,0,0,0,22,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,22,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,22,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0
Congo- Democratic Republic of,0,0,78,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,152,0,0,0,0,0,0,51,0,30,13,15,0,220,0,0,38,0,0,58,0,0,0,119,0,0,0,0,0,181,0,0,0,0,0,0,0,0,0,0,0,0,68,130,0,0,0,0,0,0,0,0,0,0,184,0,98,0,0,0,208,0,0,0,0,61,0,35,0,0,0,0,0,0,73,0,24,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,100,0,38,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,133,124,0,0,198,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,15,0,0,67,0,0,119,142,0,0,0,50,0,0,30,0,0,62,128,0,0,35,0,0,0,0,0,0,0,0,0,0,27,36
Costa Rica,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,61,0,0,0,61,0,0,61,0,0,0,0,0,0,0,61,0,0,0,61,0,61,0,0,0,0,0,0,61,0,61,0,0,0,61,61,0,61,0,0,0,0,0,0,61,0,0,0,61,0,0,0,61,0,0,0,0,61,61,0,0,0,0,0,0,0,61,61,0,61,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,61,0,61,0,0,0,0,0,0,61,0,61,61,0,61,0,61,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,61,61,0,0,61,0,0,0,0
Cote d'Ivoire,0,0,71,0,71,0,0,0,0,0,0,0,0,0,0,0,71,0,71,0,0,0,0,71,0,0,71,0,0,0,71,71,71,71,0,0,71,0,0,71,71,0,0,0,0,0,0,0,0,0,0,0,71,0,71,0,0,71,0,0,71,71,71,0,71,71,0,0,0,71,0,0,0,71,0,0,0,71,0,0,0,0,71,71,0,71,0,0,0,0,0,71,0,0,0,0,0,71,0,71,71,0,0,0,0,0,0,0,0,71,0,0,71,0,0,0,0,0,0,0,71,0,71,0,0,0,0,0,71,103,0,0,0,0,0,0,0,0,0,0,124,0,0,198,0,0,0,0,0,0,71,0,69,0,0,25,0,0,0,0,0,147,0,71,0,0,0,0,0,142,0,0,0,0,0,0,30,0,0,62,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0
Croatia,0,64,0,0,0,0,0,0,64,64,0,0,0,0,0,0,64,0,0,0,0,64,0,64,0,64,0,0,0,0,0,64,0,0,0,64,64,0,0,0,0,0,0,0,0,0,64,64,0,0,0,0,64,0,0,0,0,0,0,64,64,0,0,0,64,0,64,0,0,0,0,0,0,64,0,64,0,64,0,64,0,0,64,64,0,64,0,0,0,0,0,0,64,0,0,0,0,0,0,0,64,0,0,0,64,0,0,64,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,64,0,0,0,0,64,0,0,0,0,0,0,0,0,64,64,0,64,64,0,0,0,0,0,0,0,0,0,64,0,0,0,64,64,0,0,0,0,64,0,0,0,0,64,64,0,0,0,0,0,0,0,0,0,0,64,0,0,0,64,0,64,64,0,0,0,0,0,0,0,0
Cuba,0,0,78,0,62,0,101,0,0,0,0,0,0,0,0,54,0,18,44,0,37,0,0,152,0,114,29,0,0,34,0,0,30,0,0,82,220,71,0,38,0,0,0,0,0,0,119,0,0,0,61,58,181,0,0,0,0,0,0,0,0,0,31,0,0,68,130,0,59,36,11,17,30,0,55,108,0,184,120,98,73,0,0,208,26,0,0,0,0,0,35,0,0,0,0,30,0,73,0,0,0,0,0,0,0,0,0,116,0,32,0,0,0,0,96,0,0,0,30,0,0,40,38,0,0,0,0,42,0,103,99,0,0,0,0,0,39,75,101,133,124,0,117,198,0,0,0,0,0,0,0,0,0,80,0,0,0,66,0,0,0,147,0,0,63,0,0,0,119,142,59,0,0,0,0,0,0,0,0,0,128,0,0,0,121,0,0,0,56,0,0,0,88,50,0,36
Cyprus,0,0,0,0,0,0,0,0,60,60,0,0,0,0,0,0,60,0,0,0,0,0,0,60,0,60,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,60,0,60,60,0,0,0,0,60,0,0,0,0,0,0,60,60,0,0,60,60,0,60,0,0,0,0,0,0,60,0,60,0,60,0,60,0,60,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,60,60,60,60,60,0,0,0,0,0,0,0,0,0,60,0,0,0,60,0,0,0,0,0,60,0,0,0,0,60,60,60,0,0,0,0,0,0,0,0,0,60,0,0,0,60,0,60,60,0,0,0,60,0,0,0,0
Czech Republic,121,121,121,0,0,0,121,121,0,121,121,0,0,0,0,121,121,0,0,0,0,121,0,121,0,121,0,0,0,0,0,121,0,0,0,121,121,0,0,0,121,121,0,121,121,121,0,121,0,0,0,0,121,0,0,0,121,0,0,121,121,0,0,121,121,121,121,0,0,0,0,0,0,121,0,121,0,121,121,121,121,121,121,121,0,121,0,121,0,0,121,121,121,121,0,0,121,121,0,0,121,0,121,121,121,0,0,121,0,0,0,0,0,0,121,0,0,0,121,0,121,0,0,0,0,121,0,0,0,0,121,0,0,0,0,0,0,121,121,121,121,0,121,198,0,0,0,0,0,0,0,127,0,80,0,0,0,66,58,0,0,147,0,121,0,0,0,0,119,142,59,0,0,0,113,0,0,0,0,62,128,0,0,0,121,121,121,121,56,37,0,121,88,50,0,0
Denmark,0,118,118,0,0,0,118,118,118,118,0,0,0,0,0,0,118,0,118,0,118,118,0,118,0,118,118,0,0,0,0,118,0,0,0,118,118,0,0,0,0,0,118,118,118,118,118,0,0,0,0,0,118,0,0,0,118,0,0,118,118,0,0,118,118,118,118,0,0,0,0,0,0,0,0,118,118,118,118,118,118,118,118,118,0,118,0,0,0,0,0,118,118,0,0,0,118,0,0,0,118,0,118,118,118,0,0,0,0,0,118,0,0,0,118,0,0,0,0,0,118,0,0,0,118,118,0,0,0,0,118,0,118,0,0,0,0,0,0,133,124,0,117,198,0,0,0,0,0,0,0,127,0,80,0,0,0,66,58,0,0,147,0,118,0,0,0,0,119,142,0,0,0,0,113,0,0,0,0,0,128,0,0,35,121,118,118,118,0,0,0,118,88,0,0,0
Djibouti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,30,0,41,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,64,99,0,0,0,0,0,101,0,0,30,0,198,0,0,0,0,0,0,0,127,0,0,0,0,0,0,0,0,21,147,0,0,0,67,0,22,0,0,0,0,0,50,113,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,50,0,0
Dominica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,152,0,0,0,0,0,0,0,0,0,0,0,82,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,30,0,55,0,0,0,0,0,0,0,106,208,26,0,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0
Ecuador,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,45,0,0,0,45,0,0,45,0,0,0,0,0,0,0,45,0,0,0,45,45,45,0,0,0,45,0,0,45,0,0,0,0,0,45,0,45,45,0,0,0,0,0,0,45,0,0,0,45,0,0,0,45,0,0,0,0,45,45,0,0,0,0,0,0,0,45,45,0,45,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,45,0,45,75,0,0,0,0,0,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,45,56,0,0,45,0,0,0,0
Egypt,48,52,78,0,62,0,101,39,0,0,51,0,45,60,0,54,0,0,0,0,37,57,0,152,0,114,29,45,16,0,51,0,0,13,15,82,220,71,0,38,59,0,58,73,0,69,119,0,31,0,0,58,0,0,0,23,45,41,0,0,0,0,0,53,0,68,130,0,59,36,0,0,0,0,55,108,0,184,120,98,73,0,106,208,0,0,65,60,61,0,35,114,0,0,0,0,0,73,16,24,0,0,55,0,49,0,0,116,0,32,0,0,27,29,96,0,0,0,30,0,100,40,0,0,30,0,0,0,17,103,99,64,99,0,0,0,39,75,101,133,124,0,117,198,0,0,0,0,0,0,0,127,69,80,0,0,68,66,58,0,0,147,15,0,63,67,0,22,119,142,59,0,0,50,113,0,0,0,0,62,128,0,0,35,121,0,0,0,56,37,0,0,88,50,27,36
El Salvador,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,43,0,0,0,0,0,0,0,43,0,0,0,43,0,43,0,0,0,43,0,0,43,0,0,0,0,0,43,43,43,0,0,0,0,0,0,0,43,0,0,0,43,0,0,0,43,0,0,0,0,43,55,0,0,0,0,0,0,0,106,208,0,43,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,43,0,0,75,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,56,0,0,43,0,0,0,0
Equatorial Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,18,0,0,0,0,0,18,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,18,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0
Eritrea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,0,0,0,0,0,0,0,127,0,0,0,0,0,0,0,0,0,147,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonia,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,54,0,0,0,0,0,0,0,152,0,114,0,0,0,0,0,0,0,0,0,0,220,0,0,0,0,0,0,0,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,130,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,208,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,55,0,49,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,133,124,0,0,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0
Ethiopia,0,0,0,0,85,0,0,0,0,85,0,0,0,0,0,0,85,0,0,0,0,0,0,85,0,85,85,0,0,0,85,85,0,85,85,0,85,0,0,85,85,0,0,0,85,0,85,85,85,0,0,0,181,0,0,0,0,0,0,85,85,85,31,0,85,68,130,0,0,0,0,0,0,85,0,0,0,184,120,0,0,85,106,208,0,85,0,0,61,0,0,0,0,85,0,0,0,73,16,0,0,0,0,0,0,0,0,0,0,32,0,0,0,29,0,0,0,0,0,0,100,40,38,0,0,85,0,0,0,103,0,0,0,0,0,0,0,0,0,133,124,0,117,198,28,0,0,0,0,0,0,127,69,80,0,25,0,0,0,0,21,147,15,85,0,67,0,22,119,142,0,0,0,50,113,0,30,0,0,0,0,0,0,35,121,85,85,85,0,0,0,0,0,50,0,36
Fiji,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,120,0,0,0,0,0,0,30,0,0,0,30,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0,0,0,30,0,0,0,5,0,0,0,0,0,0,0,30,0,0,30,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,30,30,0,0,30,0,0,0,0,0
Finland,0,0,0,0,0,0,100,0,0,100,0,0,0,0,0,100,100,0,0,0,0,0,0,100,0,100,0,0,0,0,0,100,0,0,0,100,100,0,0,0,0,0,0,100,100,100,100,100,0,0,0,0,100,0,0,0,100,0,0,0,100,0,0,100,100,0,100,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,0,100,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,100,0,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,100,0,100,0,0,100,0,0,0,0,0,0,100,100,100,100,0,100,100,0,0,0,0,0,0,0,100,0,100,0,0,100,100,100,0,0,100,0,100,0,0,0,0,100,100,0,0,0,0,113,0,0,0,0,62,128,0,0,0,121,100,100,100,0,0,0,100,88,0,0,0
France,48,52,78,0,62,0,101,39,0,0,51,0,45,60,0,54,0,0,44,0,37,57,0,152,0,114,29,45,16,34,51,0,30,13,15,82,220,71,0,38,59,0,58,73,0,69,119,0,31,0,61,58,181,45,0,23,45,41,21,0,0,0,31,53,0,68,130,0,59,36,11,0,30,0,55,108,0,184,120,98,73,0,106,208,0,0,65,60,61,0,0,114,34,0,0,30,51,73,0,24,0,0,55,0,49,27,14,116,0,32,0,0,27,29,96,0,29,0,30,33,100,40,38,0,30,0,0,42,17,103,99,64,99,0,0,0,39,75,101,133,124,0,117,198,28,0,0,0,0,0,0,127,69,80,14,25,68,66,58,0,21,147,0,0,63,67,0,0,119,142,59,0,0,50,113,0,30,0,28,62,128,14,0,35,121,0,0,0,56,37,0,0,88,50,27,36
