0,Afghanistan,Albania,Algeria,Andorra,Angola,Antigua&Barbuda,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bhutan,Bolivia,Bosnia&Herzegovina,Botswana,Brazil,BruneiDarussalem,Bulgaria,BurkinaFaso,Burma,Burundi,Cambodia,Cameroon,Canada,CapeVerde,CentralAfricanRepublic,Chad,Chile,China,Colombia,Comoros,Congo,CongoDemocratic,CostaRica,CotedIvoire,Croatia,Cuba,Cyprus,CzechRepublic,Denmark,Djibouti,Dominica,DominicanRepublic,Ecuador,Egypt,ElSalvador,EquatorialGuinea,Eritrea,Estonia,Ethiopia,Fiji,Finland,France,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Grenada,Guatamala,Guinea,Guinea-Bissau,Guyana,Haiti,HolySee(VaticanCity),Honduras,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,KoreaNorth,KoreaSouth,Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Macedonia,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,MarshallIslands,Mauritania,Mauritius,Mexico,Micronesia,Moldova,Monaco,Mongolia,Montenegro,Morocco,Mozambique,Namibia,Nauru,Nepal,Netherlands,NewZealand,Nicaragua,Niger,Nigeria,Norway,Oman,Pakistan,Palau,Panama,PapuaNewGuinea,Paraguay,Peru,Phillipines,Poland,Portugal,Qatar,Romania,Russia,Rwanda,St.Kitts&Nevis,St.Lucia,St.Vincent&TheGrenadines,Samoa,SanMarino,SaoTome&Principe,SaudiArabia,Senegal,Serbia,Seychelles,SierraLeone,Singapore,Slovakia,Slovenia,SolomonIslands,Somalia,SouthAfrica,SouthSudan,Spain,SriLanka,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad&Tobago,Tunisia,Turkey,Turkmenistan,Tuvalu,Uganda,Ukraine,UnitedArabEmirates,UnitedKingdom,UnitedStates,Uruguay,Uzbekistan,Vanuatu,Venezuela,Vietnam,Yemen,Zambia,Zimbabwe
Latvia,0.416,0.524,0.469,0.112,0.416,0.147,0.416,0.524,0.226,4.191,2.071,0.08,0.226,0.226,0.112,3.019,4.191,0.08,0.147,0.028,0.365,0.524,0.112,0.365,0.08,0.581,0.147,0.185,0.185,0.147,0.27,1.983,0.27,0.052,0.08,0.416,1.81,0.365,0.028,0.185,0.365,0.365,0.27,0.581,0.416,0.524,4.303,3.12,0.028,0.112,0.27,0.316,0.416,0.226,0.147,0.316,5.484,0.416,0.08,4.191,2.82,0.185,0.185,2.16,4.079,0.27,3.12,0.08,0.27,0.185,0.147,0.052,0.112,0.416,0.226,2.16,0.469,0.416,0.416,0.469,0.469,3.12,2.071,3.019,0.147,1.983,0.416,1.25,0.365,0.028,0.147,0.416,0.469,0.416,0.416,0.185,0,0.416,0.185,0.185,0.416,0.052,8.255,0.469,0.524,0.147,0.147,0.27,0.185,0.185,0.469,0.028,0.185,0.226,0.416,0.052,1.983,0.226,0.365,0.416,0.469,0.27,0.185,0.028,0.147,3.019,0.316,0.27,0.112,0.316,4.191,0.185,0.469,0.028,0.226,0.08,0.226,0.365,0.27,4.191,4.191,0.316,0.524,6.626,0.226,0.112,0.112,0.052,0.08,0.147,0.052,0.469,0.226,0.524,0.112,0.185,0.112,1.25,1.25,0.028,0.112,0.416,0.08,3.019,0.316,0.365,0.052,0.028,6.757,2.071,0.416,0.01,0.27,0.27,0.416,0.052,0.112,0.028,0.08,0.469,4.191,0.27,0.028,0.365,3.12,0.416,3.968,1.726,0.416,1.896,0.028,0.365,0.416,0.962,0.27,0.27
Lebanon,0.469,0.524,1.326,0.028,0.524,0.08,2.16,1.983,1.983,2.16,0.524,0.052,1.983,0.469,0.112,0.524,3.222,0.08,0.416,0.01,0.469,0.524,0.112,2.16,0.365,2.16,0.416,0.27,0.147,0.27,0.469,2.16,0.365,0.185,0.147,1.25,2.16,1.983,0.052,0.416,1.176,0.469,1.983,0.581,2.16,6.889,2.16,2.16,0.226,0.052,0.469,0.524,8.396,0.416,0.365,0.416,0.469,1.176,0.08,0.581,6.889,1.983,0.416,0.524,4.303,2.071,3.222,0.08,0.416,0.469,0.052,0.147,0.316,2.16,0.365,2.16,0.316,2.16,2.16,1.326,2.16,0.581,0.581,5.607,0.226,2.16,4.303,1.176,0.524,0.01,0.469,1.326,0.416,3.222,0.185,0.226,0.416,0,0.185,0.316,0.64,0.052,0.469,0.469,0.524,0.316,0.112,0.581,0.27,0.469,0.469,0.01,0.416,0.416,2.071,0.028,0.416,0.185,0.416,0.416,3.222,0.365,0.365,0.01,0.316,3.222,0.469,0.365,0.316,1.326,1.326,1.176,1.326,0.01,0.416,0.08,1.103,0.524,1.25,3.222,0.64,4.191,3.222,2.16,0.316,0.08,0.08,0.028,0.028,0.185,0.052,3.222,1.176,1.25,0.185,0.828,0.416,0.581,0.524,0.01,0.316,1.326,0.112,2.16,1.176,1.25,0.112,0.112,1.25,4.303,2.251,0.01,0.112,0.469,0.581,0.052,0.316,0.028,0.112,1.326,3.222,0.185,0.01,0.416,2.16,3.12,4.303,2.071,2.071,0.365,0.028,2.16,0.524,2.16,0.365,0.469
Lesotho,0.27,0.27,0.185,0.112,0.27,0.226,0.147,0.27,0.052,0.052,0.27,0.27,0.147,0.316,0.27,0.27,0.469,0.185,0.226,0.112,0.27,0.316,0.365,0.028,0.27,0.08,0.316,0.27,0.365,0.226,0.316,0.416,0.27,0.27,0.226,0.185,0.962,0.185,0.185,0.27,0.316,0.08,0.27,0.27,0.052,0.226,0.08,0.028,0.185,0.27,0.08,0.226,0.365,0.147,0.226,0.365,0.27,0.962,0.27,0.112,0,0.365,0.185,0.27,0.365,0.316,0.028,0.226,0.08,0.365,0.185,0.27,0.185,0.052,0.112,0.08,0.365,0.365,0.052,0.08,0.185,1.482,0.112,0.365,0.226,0.01,0.27,0.226,0.365,0.08,0.27,0.052,0.185,0.226,0.27,0.185,0.185,0.185,0,0.316,1.176,0.185,0.226,0.226,0.27,0.365,0.365,0.469,0.27,0.365,0.365,0.112,0.27,0.416,0.112,0.147,0.226,0.316,0.27,0.226,0.185,0.365,0.365,0.08,0.27,0.01,0.226,0.112,0.316,0.226,0.08,0.147,0.147,0.112,0.112,0.27,0.27,0.185,0.112,0.052,0.052,0.185,0.08,0,0.365,0.226,0.226,0.226,0.185,0.147,0.147,0.08,0.365,0.226,0.27,0.27,0.112,0.316,0.226,0.112,0.27,2.82,0.316,0.01,0.226,0.316,0.185,0.365,0.052,0.052,0.27,0.052,0.27,0.365,0.052,0.226,0.27,0.147,0.27,0.185,0.028,0.27,0.112,0.416,0.08,0.27,0.365,0.962,0.226,0.27,0.112,0.08,0.147,0.365,0.365,0.416
Liberia,0.147,0.226,0.365,0.147,0.469,0.226,0.112,0.226,0.052,0.052,0.147,0.185,0.147,0.226,0.147,0.185,1.176,0.147,1.103,0.052,0.226,0.185,0.27,0.052,0.185,0.052,0.416,0.226,0.365,0.185,1.103,0.08,0.416,0.365,0.365,0.185,1.032,0.185,0.185,0.416,1.103,0.052,2.919,0.226,0.581,0.226,0.112,0.052,0.185,0.226,0.08,0.147,1.103,0.112,0.416,0.365,0.226,0.416,0.226,0.112,0.962,0.469,1.81,0.226,1.032,1.032,0.08,0.147,0.08,1.983,0.27,0.147,0.185,0.226,0.112,0.08,0.27,0.01,0.028,0.112,0.112,0.08,0.581,0.365,0.147,0.028,0.226,0.112,0.894,0.052,0.27,0.147,0.185,0.185,0.147,0.112,0.185,0.316,0.316,0,0.316,0.147,0.185,0.226,0.185,0.316,0.27,0.052,0.147,0.416,0.226,0.08,0.416,0.316,0.112,0.112,0.27,0.27,0.185,0.226,0.894,0.27,0.316,0.08,0.185,0.01,0.147,0.112,0.365,0.365,0.185,0.147,0.08,0.08,0.08,0.147,0.185,0.185,0.052,0.052,0.27,0.112,0.052,0.01,0.365,0.112,0.226,0.112,0.147,0.147,0.27,0.08,1.103,0.147,0.27,3.968,0.08,0.185,0.226,0.08,0.147,0.581,0.27,0.028,0.185,0.316,0.112,0.185,0.052,0.08,0.27,0.028,0.185,0.27,0.052,0.147,0.416,0.112,0.226,0.365,0.052,0.27,0.08,0.365,0.08,0.08,0.365,0.962,0.185,0.27,0.147,0.112,0.052,0.27,0.365,0.316
Libya,0.416,1.25,2.251,0.028,0.581,0.028,2.16,0.416,1.176,2.16,1.983,0.028,1.032,1.896,0.052,1.896,2.251,0.01,1.103,0.01,0.365,2.071,0.524,2.251,0.27,2.16,1.643,0.185,0.112,0.147,1.176,2.251,0.416,0.64,0.524,0.581,2.251,0.469,0.469,0.416,1.25,0.365,1.176,2.16,2.251,2.071,2.16,1.326,0.581,0.01,0.416,0.469,7.022,0.27,0.365,0.365,0.416,0.416,0.028,0.581,2.251,1.103,0.962,0.469,3.222,2.16,4.303,0.028,0.27,1.103,0.524,0.028,0.147,1.326,0.27,2.16,0.185,1.326,2.16,0.64,0.581,0.581,0.581,4.417,0.08,2.251,3.019,1.103,1.25,0,1.032,0.581,0.365,0.581,0.08,0.147,0.416,0.64,1.176,0.316,0,0.01,0.469,0.469,0.524,0.701,0.052,2.16,0.112,1.032,1.896,0.01,1.896,0.27,0.581,0.01,0.27,0.64,0.316,0.365,3.222,0.962,0.962,0.01,0.185,3.222,0.316,0.764,0.701,1.326,0.64,0.469,1.326,0.01,0.962,0.028,0.365,0.524,2.071,2.16,2.251,3.12,2.251,1.403,0.764,0.028,0.01,0.01,0.01,0.08,0.112,1.326,2.071,2.16,0.524,1.326,0.27,2.071,0.524,0.01,0.052,2.251,0.052,4.417,0.469,1.25,0.028,0.112,1.25,2.251,1.326,0.052,0.028,0.469,0.581,0.052,0.894,0.01,0.052,1.326,1.326,0.052,0.01,1.81,2.16,2.071,5.607,2.251,0.469,0.185,0.01,2.16,1.176,1.25,0.316,0.416
Liechtenstein,0.08,0.08,0.028,0.147,0.028,0.185,0.01,0.08,0.365,0.01,0.08,0.185,0.08,0.052,0.185,0.052,0.365,0.147,0.08,0.147,0.08,0.08,0.226,0,0.112,0.01,0.147,0.052,0.185,0.147,0.112,0,0.112,0.185,0.226,0.028,0,0.052,0.112,0.08,0.052,0.052,0.052,0.052,0.01,0.052,0.01,0.01,0.08,0.185,0.08,0.08,0,0.08,0.147,0.147,0.08,0.08,0.185,0.028,0,0.08,0.112,0.052,0.316,0.052,0.01,0.147,0.028,0.112,0.185,0.147,0.112,0.01,0.052,0.01,0.112,0,0.01,0.01,0.028,0.028,0.01,0,0.147,0,0.052,0.052,0.08,0.147,0.08,0.01,0.185,0.028,0.185,0.147,0.052,0.052,0.185,0.147,0.01,0,0.052,0.185,0.147,0.147,0.226,0.01,0.147,0.112,0.226,0.185,0.147,0.226,0.01,0.185,0.147,0.27,0.147,0.112,0.028,0.08,0.112,0.147,0.185,0,0.052,0.08,0.185,0.01,0.028,0.028,0.01,0.147,0.028,0.185,0.147,0.028,0.01,0.01,0.01,0.01,0.01,0,0.147,0.185,0.185,0.185,0.27,0.185,0.147,0.01,0.028,0.052,0.185,0.147,0.052,0.052,0.112,0.185,0.147,0,0.147,0,0.052,0.028,0.185,0.112,0.01,0.962,0.052,0.052,0.226,0.08,0.01,0.226,0.112,0.185,0.147,0.052,0.01,0.226,0.147,0.147,0.01,0.01,0,0.316,0.08,0.08,0.185,0.01,0.028,0.052,0.147,0.147
Lithuania,0.416,0.524,0.469,0.08,0.469,0.147,1.176,1.176,0.365,2.16,1.25,0.08,0.226,0.27,0.08,4.191,4.191,0.08,0.226,0.028,0.416,0.524,0.112,0.416,0.147,2.16,0.226,0.27,0.226,0.185,0.316,2.071,0.27,0.052,0.08,0.524,1.896,0.416,0.028,0.27,0.416,0.416,0.316,0.581,0.469,1.25,3.222,3.12,0.052,0.112,0.365,0.416,1.032,0.316,0.112,0.365,3.222,0.416,0.08,4.303,2.919,0.316,0.147,2.16,4.079,0.316,3.12,0.08,0.365,0.27,0.112,0.08,0.147,1.983,0.316,2.16,1.176,1.032,0.469,0.524,0.524,4.303,1.25,3.019,0.147,1.983,0.365,2.071,0.365,0.01,0.27,0.469,0.469,0.469,0.316,0.147,8.255,0.469,0.226,0.185,0.469,0.052,0,0.469,0.524,0.185,0.147,0.365,0.185,0.226,1.103,0.028,0.226,0.27,0.469,0.052,1.983,0.316,0.416,0.416,0.524,0.27,0.226,0.028,0.226,3.12,0.316,0.316,0.147,0.416,4.303,0.147,0.469,0.028,0.365,0.08,0.365,0.469,0.416,3.12,2.16,0.316,2.071,3.12,0.27,0.08,0.112,0.052,0.052,0.226,0.028,0.416,0.27,0.581,0.147,0.147,0.147,0.581,1.25,0.028,0.08,0.416,0.08,3.12,0.365,0.416,0.052,0.052,6.889,0.581,0.469,0.01,0.185,0.316,0.469,0.08,0.112,0.028,0.08,0.469,1.25,0.27,0.028,0.365,2.16,0.416,4.079,1.726,0.469,0.416,0.028,0.469,0.469,0.416,0.316,0.316
Luxembourg,0.416,0.469,0.469,0.185,0.469,0.27,0.524,0.416,0.365,1.896,0.469,0.147,0.416,0.365,0.185,0.416,1.983,0.226,0.365,0.08,0.416,0.469,0.185,0.469,0.27,0.469,0.894,0.316,0.226,0.365,0.416,0.469,1.81,0.147,0.147,0.469,1.326,0.416,0.08,0.27,0.416,0.469,0.416,0.524,0.469,0.524,1.983,2.919,0.147,0.226,0.416,0.416,0.365,0.365,0.226,0.365,0.469,0.416,0.226,1.176,1.25,0.365,0.316,0.469,2.16,0.469,1.896,0.185,0.316,0.27,0.27,0.112,0.226,0.894,0.316,0.469,0.416,0.764,0.416,0.416,0.469,1.176,0.469,1.643,0.27,1.81,0.416,0.469,0.365,0.052,0.27,0.416,0.469,0.469,0.365,0.316,0.469,0.469,0.226,0.226,0.469,0.185,0.469,0,0.469,0.27,0.226,0.365,0.365,0.316,0.469,0.112,0.316,0.365,0.469,0.147,0.365,0.365,0.416,0.416,0.524,0.316,0.316,0.052,0.316,1.81,0.416,0.962,0.226,0.416,0.469,0.365,0.469,0.08,0.365,0.226,0.316,0.469,0.365,1.896,2.919,0.416,1.176,1.726,0.27,0.185,0.226,0.112,0.147,0.27,0.08,0.416,1.032,0.469,0.316,0.27,0.365,0.469,0.469,0.052,0.27,0.416,0.08,1.81,0.365,0.365,0.147,0.112,0.469,2.82,0.416,0.185,0.27,0.365,1.103,0.147,0.27,0.08,0.185,0.469,2.919,0.27,0.052,0.365,0.469,0.962,1.896,1.81,0.469,0.416,0.08,0.416,0.962,0.416,0.365,0.316
Macedonia,0.469,2.16,0.524,0.147,0.416,0.185,0.524,0.469,1.032,3.12,0.524,0.08,0.27,0.27,0.08,0.469,2.16,0.08,0.27,0.028,0.416,2.16,0.147,0.524,0.226,3.12,0.27,0.27,0.226,0.27,0.316,1.176,0.185,0.08,0.185,0.524,1.896,0.416,0.028,0.226,0.416,0.416,0.316,3.222,0.524,0.581,1.25,2.16,0.112,0.147,0.365,0.469,1.103,0.316,0.27,0.416,1.176,0.365,0.112,0.581,3.968,0.316,0.226,0.524,4.079,0.365,1.25,0.08,0.316,0.27,0.08,0.112,0.147,1.103,0.185,2.16,0.469,1.032,0.524,1.25,0.524,2.16,0.524,3.019,0.08,0.469,0.469,0.469,0.416,0.028,0.316,0.524,3.12,0.469,0.27,0.226,0.524,0.524,0.27,0.185,0.524,0.147,0.524,0.469,0,0.226,0.147,0.416,0.226,0.226,0.469,0.028,0.316,0.365,0.524,0.052,0.469,0.27,0.416,2.071,0.524,0.226,0.226,0.028,0.27,3.12,0.365,0.27,0.226,0.416,2.16,0.27,0.524,0.028,0.27,0.112,0.365,0.469,0.416,3.12,0.524,0.962,2.16,1.983,0.226,0.08,0.147,0.052,0.08,0.27,0.028,0.469,0.316,3.222,0.226,0.112,0.27,0.581,4.303,0.028,0.185,0.469,0.112,3.019,0.365,0.416,0.08,0.08,4.303,4.191,0.524,0.028,0.226,0.316,0.469,0.08,0.147,0.052,0.08,0.524,3.12,0.226,0.028,0.365,3.12,0.469,2.919,1.403,0.469,0.365,0.052,0.469,0.469,0.416,0.316,0.365
Madagascar,0.226,0.226,0.316,0.147,0.365,0.185,0.147,0.316,0.147,0.052,0.185,0.147,0.147,0.226,0.147,0.226,0.469,0.112,0.365,0.08,0.226,0.226,0.316,0.08,0.185,0.052,0.365,0.226,0.365,0.27,0.365,0.469,0.226,0.185,0.27,0.147,1.032,0.226,1.81,0.316,0.416,0.112,0.365,0.185,0.112,0.226,0.052,0.08,1.896,0.226,0.185,0.147,0.581,0.147,0.27,0.416,0.185,0.416,0.226,0.147,3.75,0.416,0.185,0.226,0.962,0.27,0.052,0.147,0.08,0.365,0.27,0.185,0.27,0.581,0.08,0.052,0.365,1.25,0.524,0.581,0.185,0.185,0.147,1.032,0.147,1.032,0.27,0.112,2.919,0.052,0.112,0.08,0.147,0.185,0.226,0.226,0.147,0.316,0.365,0.316,0.701,0.147,0.185,0.27,0.226,0,0.416,0.08,0.226,0.416,0.27,0.112,0.316,2.82,0.08,0.147,0.226,0.185,0.27,0.226,0.226,1.983,0.27,0.052,0.226,0.028,0.27,0.112,0.316,0.226,0.701,0.226,0.185,0.08,0.08,0.185,0.226,0.147,0.112,0.028,0.185,0.226,0.112,1.032,0.416,0.112,0.226,0.112,0.185,0.185,0.08,0.147,0.894,0.147,0.316,0.27,0.147,0.226,0.27,0.08,0.316,4.648,0.185,0.01,0.226,1.896,0.147,1.81,0.112,0.764,0.27,0.052,0.185,1.983,0.64,0.147,0.27,0.08,0.185,0.316,0.052,0.226,0.052,0.416,0.052,0.226,0.365,0.962,0.226,0.226,0.112,0.08,0.147,0.365,0.416,0.416
Malawi,0.185,0.147,0.185,0.147,0.316,0.27,0.08,0.226,0.052,0.028,0.185,0.226,0.185,0.226,0.226,0.226,0.365,0.226,0.316,0.147,0.226,0.147,0.365,0.01,0.27,0.028,0.316,0.27,0.365,0.27,0.27,0.416,0.226,0.185,0.27,0.112,0,0.147,0.316,0.185,0.316,0.112,0.27,0.112,0.028,0.08,0.028,0.028,0.27,0.27,0.185,0.147,0.365,0.27,0.27,0.365,0.185,0.365,0.316,0.08,0.316,0.316,0.27,0.226,0.962,0.226,0.01,0.185,0.147,0.27,0.185,0.226,0.316,0.08,0.147,0.028,0.962,0.365,0.028,0.028,0.112,0.08,0.052,0,0.226,0.365,0.147,0.112,1.643,0.112,0.112,0.028,0.185,0.147,0.27,0.226,0.147,0.112,0.365,0.27,0.052,0.226,0.147,0.226,0.147,0.416,0,0.028,0.185,0.316,0.226,0.226,0.185,0.316,0.052,0.185,0.185,0.27,0.316,0.147,0.052,1.81,0.27,0.112,0.27,0.01,0.185,0.185,0.226,0.112,0.524,0.112,0.052,0.185,0.185,0.27,0.316,0.112,0.08,0.01,0.028,0.08,0.028,0,0.416,0.226,0.27,0.226,0.226,0.226,0.185,0.028,0.226,0.08,0.316,0.226,0.147,0.185,0.147,0.147,0.185,1.81,0.27,0,0.226,0.316,0.185,0.365,0.028,0.01,0.185,1.103,0.27,1.032,0.052,0.185,0.27,0.147,0.316,0.185,0.01,0.316,0.112,0.365,0.028,0.112,0.962,0.962,0.185,0.226,0.112,0.028,0.08,0.27,1.103,1.032
Malaysia,1.25,1.103,2.16,0.01,0.469,0.01,2.16,0.316,5.607,2.251,0.524,0.01,2.071,5.607,0.028,0.524,2.251,0.028,0.112,0.01,0.365,2.071,0.028,2.251,5.484,0.64,0.226,5.484,0.028,3.019,0.147,2.251,0.185,0.01,0.01,2.16,7.022,1.103,0.01,0.147,0.365,0.365,0.27,2.071,2.16,0.524,2.251,1.326,0.08,0.01,0.316,1.176,3.222,0.316,0.08,0.316,0.316,0.469,1.25,2.16,3.326,0.147,0.226,0.416,4.417,1.896,0.64,0.01,0.316,1.482,0.01,0.028,0.147,0.64,0.27,2.251,0.226,5.732,7.022,4.417,1.326,1.983,0.581,2.251,0.052,5.732,3.12,1.983,1.176,0,1.983,7.022,0.185,3.222,0.524,2.919,0.27,0.581,0.469,0.052,2.16,0.01,0.365,0.365,0.416,0.08,0.028,0,0.962,0.185,0.365,0.01,0.112,3.326,2.16,0.01,0.112,0.028,0.469,0.27,2.251,0.27,1.403,0,1.983,4.417,3.12,0.316,0.028,2.16,1.326,2.16,3.326,0.01,0.365,2.071,0.365,2.071,7.022,2.251,0.581,3.222,2.251,2.251,0.185,0.01,0.01,0.01,0.01,0.028,0.01,3.222,1.896,1.25,0.028,0.052,8.396,1.25,0.469,0.01,0.226,2.251,0.01,2.251,6.889,2.071,0.028,0.416,1.326,2.251,2.16,3.326,0.028,0.416,8.396,1.032,0.028,0.01,0.028,0.581,3.222,0.028,0,0.365,2.16,3.222,3.326,4.417,0.469,2.722,0.01,2.071,7.022,2.071,0.112,1.726
Maldives,0.416,0.316,0.147,0.112,0.226,0.112,0.147,0.27,0.365,0.64,0.365,0.112,0.365,1.896,0.147,0.226,0.581,0.185,0.112,0.226,0.185,0.365,0.185,0.08,0.416,0.08,0.185,0.416,0.185,0.316,0.08,0.226,0.147,0.08,0.147,0.185,1.032,0.185,0.112,0.08,0.08,0.226,0.185,0.185,0.052,0.185,0.112,0.226,0.226,0.147,0.147,0.27,0.08,0.112,0.112,0.316,0.185,0.316,0.185,0.27,0,0.147,0.226,0.185,0.365,0.226,0.08,0.147,0.052,0.226,0.112,0.147,0.08,0.052,0.052,0.27,0.316,4.079,0.365,0.316,0.316,0.27,0.08,0.416,0.185,0.581,0.365,0.416,0.416,0.052,0.365,0.27,0.27,0.416,0.365,0.27,0.185,0.27,0.27,0.147,0.112,0.147,0.185,0.365,0.226,0.226,0.185,0.962,0,0.226,0.365,0.08,0.226,0.416,0.185,0.112,0.185,0.27,0.316,0.226,0.27,0.226,0.147,0.052,0.469,0.052,0.365,0.147,0.185,0.226,0.27,0.416,1.81,0.08,0.112,0.226,0.185,0.27,0.365,0.112,0.052,1.032,0.27,0.416,0.226,0.112,0.147,0.08,0.147,0.147,0.052,0.962,0.147,0.08,0.316,0.226,1.896,0.226,0.185,0.08,0.365,0.112,0.08,0.01,5.24,0.316,0.112,0.185,0.185,0.701,0.316,0.08,0.226,0.365,1.032,0.185,0.08,0.112,0.112,0.316,0.226,0.226,0.08,0.316,0.147,1.032,0.962,0,0.27,0.365,0.08,0.08,0.27,0.316,0.316,0.27
Mali,0.27,0.316,0.469,0.147,1.176,0.185,0.316,0.316,0.112,0.27,0.316,0.185,0.27,0.365,0.147,0.316,0.962,0.147,1.176,0.052,0.27,0.316,0.27,0.316,0.316,0.27,4.079,0.27,0.365,0.27,0.524,1.562,0.365,0.365,0.316,0.316,1.103,0.316,0.185,0.469,0.469,0.08,4.079,0.316,1.643,0.27,0.365,0.764,0.316,0.185,0.27,0.226,1.643,0.112,0.416,0.416,0.27,1.103,0.226,0.27,1.896,1.176,0.365,0.27,1.103,1.176,0.226,0.147,0.147,1.176,0.316,0.185,0.27,0.316,0.112,0.27,0.365,0.524,0.226,0.27,0.316,0.27,0.316,1.103,0.185,0.64,0.316,0.226,0.962,0.052,0.226,0.27,0.185,0.365,0.185,0.27,0.185,0.469,0.365,0.416,1.032,0.112,0.226,0.316,0.226,0.416,0.316,0.185,0.226,0,0.365,0.08,1.103,0.365,0.27,0.112,0.226,0.27,0.316,0.185,2.919,0.416,0.365,0.052,0.27,0.764,0.27,0.147,0.469,0.469,0.27,0.226,0.27,0.08,0.147,0.147,0.316,0.316,0.226,0.27,1.032,0.365,0.365,1.25,0.365,0.08,0.185,0.08,0.147,0.147,0.27,1.726,3.019,0.365,0.27,0.365,0.185,0.316,0.316,0.052,0.27,1.726,0.226,0.226,0.316,0.365,0.112,0.185,0.185,0.316,0.365,0.028,0.147,0.365,0.185,0.147,1.103,0.052,0.185,0.469,0.226,0.185,0.052,0.416,0.316,0.365,0.01,0.962,0.365,0.27,0.112,0.27,0.226,0.469,0.416,0.416
Malta,0.416,0.469,1.983,0.185,0.365,0.226,0.469,0.416,1.482,1.983,0.469,0.147,0.416,0.365,0.147,0.365,1.896,0.147,0.185,0.08,0.365,0.469,0.226,0.416,0.27,0.469,0.365,0.27,0.27,0.27,0.27,0.416,0.27,0.147,0.185,0.416,1.25,0.416,0.112,0.226,0.316,0.316,0.316,0.469,0.416,0.524,0.469,1.103,0.185,0.185,0.316,0.416,2.53,0.27,0.316,0.416,0.469,0.416,0.226,1.103,1.103,0.316,0.27,0.416,1.983,0.416,1.983,0.147,0.27,0.27,0.226,0.147,0.112,0.701,0.185,0.469,0.416,0.764,0.416,0.416,0.469,1.983,0.416,3.326,0.185,0.316,0.469,0.469,0.469,0.052,0.226,0.316,0.416,1.032,0.27,0.226,0.469,0.469,0.365,0.226,1.896,0.226,1.103,0.469,0.469,0.27,0.226,0.365,0.365,0.365,0,0.052,0.316,0.416,0.469,0.08,0.365,0.365,0.316,0.365,0.524,0.316,0.27,0.052,0.365,2.625,0.316,0.316,0.27,0.416,1.103,0.416,0.469,0.052,0.226,0.185,0.316,0.416,0.416,0.469,1.176,0.416,0.469,1.643,0.27,0.226,0.185,0.08,0.147,0.226,0.052,1.032,0.365,0.469,0.27,0.316,0.365,0.469,0.469,0.08,0.27,0.416,0.185,2.53,0.365,0.416,0.226,0.112,0.416,1.103,0.416,0.028,0.27,0.416,0.416,0.147,0.147,0.112,0.185,1.983,1.103,0.27,0.052,0.469,0.469,0.469,1.896,0.962,0.416,0.316,0.112,0.416,0.365,0.365,0.316,0.365
Marshall Islands,0.052,0.028,0.01,0.112,0.028,0.147,0.01,0.052,0.01,0,0.028,0.226,0.052,0.028,0.147,0.028,0,0.226,0.052,0.147,0.147,0.028,0.185,0,0.08,0,0.147,0.08,0.112,0.112,0.028,0,0.052,0.147,0.147,0.028,0,0.028,0.08,0.052,0.028,0.052,0.028,0.01,0,0.01,0.01,0,0.08,0.185,0.08,0.052,0,0.147,0.08,0.112,0.052,0.052,0.701,0.01,0,0.052,0.08,0.028,0,0.028,0,0.147,0.08,0.08,0.147,0.112,0.226,0.01,0.08,0.01,0.147,0,0.01,0.01,0.01,0.01,0.01,0,0.185,0.962,0.028,0.028,0.028,0.185,0.028,0.01,0.08,0.028,0.112,0.08,0.028,0.01,0.112,0.08,0.01,0.185,0.028,0.112,0.028,0.112,0.226,0.01,0.08,0.08,0.052,0,0.112,0.08,0.01,0.316,0.08,0.147,0.08,0.052,0.01,0.052,0.052,0.185,0.08,0,0.08,0.112,0.112,0.01,0.01,0.028,0.01,0.27,0.08,0.27,0.08,0.028,0.01,0,0,0.01,0,0,0.112,0.185,0.185,0.185,0.27,0.185,0.147,0,0.028,0.01,0.08,0.08,0.028,0.028,0.028,0.147,0.08,0,0.112,0,0.028,0.028,0.112,0.112,0.01,0,0.028,1.25,0.112,0.028,0.01,0.147,0.052,0.185,0.147,0.028,0,0.112,0.185,0.08,0,0.01,0,3.75,0.052,0.08,0.147,0.01,0.028,0.028,0.112,0.08
